symbol,entry_dt,exit_dt,direction,begin,ma_close,std_close,band_lower,band_upper,dist_from_ma,band_pos,atr_14,atr_14_pct,bar_range,bar_range_pct,bar_body,bar_body_pct,pnl_rel,pnl_abs,bars_in_trade,max_adverse_excursion
SBER,2022-01-05 07:00:00+00:00,2022-01-05 14:00:00+00:00,1,2022-01-05 07:00:00+00:00,304.82959999999997,1.6897529827929623,302.2949705258105,307.3642294741894,-0.008495237995260177,-0.010843897770915201,0.8135714285714235,0.0026918059441881402,2.25,0.00744441503440974,1.3199999999999932,0.004367390153520358,-0.003613195961369662,-3613.1959613696617,15,-1.240000000000009
SBER,2022-01-05 14:00:00+00:00,2022-01-05 18:00:00+00:00,1,2022-01-05 14:00:00+00:00,304.3156,2.1520784068867362,301.0874823896699,307.54371761033013,-0.015397173197824961,-0.22574803114451267,1.355000000000002,0.004522244101057978,2.2600000000000477,0.007542635917631905,1.5900000000000318,0.005306544738510936,-0.001651285608856063,-1645.3191903630764,9,-1.3100000000000023
SBER,2022-01-05 18:00:00+00:00,2022-01-05 21:00:00+00:00,1,2022-01-05 18:00:00+00:00,302.8996,2.204776780778747,299.5924348288319,306.2067651711681,-0.017100055595979637,-0.28308758890481317,1.1750000000000074,0.003946661292489612,1.4499999999999886,0.004870347977965836,1.089999999999975,0.003661158135160469,-0.0020469821276595966,-2036.2180411259724,7,-1.240000000000009
SBER,2022-01-05 21:00:00+00:00,2022-01-05 21:30:00+00:00,1,2022-01-05 21:00:00+00:00,301.94079999999997,2.80992761908369,297.7259085713744,306.1556914286255,-0.020867666774413998,-0.2474451129639933,1.2807142857142821,0.004332006107814512,1.990000000000009,0.006731159518333139,0.8500000000000227,0.0028751183872277866,-0.002289607473508104,-2272.9053978724874,2,0.0
SBER,2022-01-05 22:00:00+00:00,2022-01-05 22:30:00+00:00,1,2022-01-05 22:00:00+00:00,301.4062,3.3282488439637916,296.41382673405434,306.3985732659457,-0.033994655717101994,-0.5261852884571038,1.577857142857141,0.005419209860067114,4.4500000000000455,0.015283692814947262,1.839999999999975,0.0063195493886522005,-0.0022161562698053486,-2194.9528875552683,2,0.0
SBER,2022-01-06 06:30:00+00:00,2022-01-06 07:00:00+00:00,1,2022-01-06 06:30:00+00:00,300.0896,4.955024644185808,292.65706303372133,307.5221369662787,-0.044951907696901175,-0.4074694186656663,2.0285714285714227,0.007078058020137552,0.0,0.0,0.0,0.0,0.0007703312676056337,761.2701756018382,2,0.0
SBER,2022-01-06 09:30:00+00:00,2022-01-06 10:30:00+00:00,1,2022-01-06 09:30:00+00:00,298.4704,5.3863834218652835,290.39082486720207,306.5499751327979,-0.020070331932412613,0.12928743767213893,3.028571428571427,0.010354798374492023,1.8199999999999932,0.0062226477024069785,0.2999999999999545,0.0010257111597372624,-0.0005613900943396214,-555.2140615356469,3,0.0
SBER,2022-01-10 18:00:00+00:00,2022-01-11 06:30:00+00:00,1,2022-01-10 18:00:00+00:00,293.0272,2.3781239733558173,289.46001403996627,296.5943859600337,-0.012890270937305456,-0.02943693464810035,1.335714285714285,0.0046178540560563005,1.1399999999999864,0.003941227312013781,0.2699999999999818,0.0009334485738979493,0.0028653283422459736,2832.215073928706,13,-0.30000000000001137
SBER,2022-01-11 17:30:00+00:00,2022-01-11 19:30:00+00:00,1,2022-01-11 17:30:00+00:00,291.7436,1.409364830157636,289.62955275476355,293.8576472452365,-0.007964527756564322,-0.049561984774871115,1.028571428571427,0.0035539058412391226,2.1000000000000227,0.007255891092529966,1.0299999999999727,0.0035588418215740884,0.0019144212499999677,1897.719225844428,5,0.0
SBER,2022-01-12 11:00:00+00:00,2022-01-12 17:30:00+00:00,1,2022-01-12 11:00:00+00:00,291.4162,0.796545833773123,290.2213812493403,292.6110187506597,-0.006815681489223992,-0.33117209154248745,0.9871428571428648,0.003410644567400977,2.4399999999999977,0.00843036312752651,1.7699999999999818,0.006115468334312206,0.0013572513748190598,1347.985961138998,14,-1.75
SBER,2022-01-13 11:30:00+00:00,2022-01-13 14:00:00+00:00,1,2022-01-13 11:30:00+00:00,289.9866,1.2230767659897017,288.15198485101547,291.82121514898455,-0.00660927091113871,-0.02234388260144251,0.9749999999999984,0.0033845940222862443,1.3199999999999932,0.004582219599402899,0.6500000000000341,0.0022563960148576185,-0.0028453035897435734,-2829.715266523308,6,-0.14999999999997726
SBER,2022-01-13 14:00:00+00:00,2022-01-13 14:30:00+00:00,1,2022-01-13 14:00:00+00:00,289.56239999999997,1.1998529841887227,287.76262052371686,291.3621794762831,-0.01364956223598076,-0.5980234112243649,1.2249999999999943,0.004289065508910732,3.3999999999999773,0.011904345085956294,2.3899999999999864,0.00836805433983399,-0.0023358089795918564,-2316.402306908589,2,0.0
SBER,2022-01-13 14:30:00+00:00,2022-01-13 17:30:00+00:00,1,2022-01-13 14:30:00+00:00,289.3906,1.4776572881481698,287.17411406777774,291.6070859322223,-0.02187562415641698,-0.9280713240649546,1.443571428571423,0.005099877865369261,4.110000000000014,0.014519889776019267,2.5500000000000114,0.009008690736946271,-0.005696049282533433,-5635.530281592979,7,-0.9700000000000273
SBER,2022-01-13 17:30:00+00:00,2022-01-13 18:30:00+00:00,1,2022-01-13 17:30:00+00:00,288.2594,2.937761475986023,283.852757786021,292.66604221397904,-0.0455124793848875,-0.9885937367891932,2.4399999999999897,0.008868212546340008,10.349999999999966,0.03761721305517179,8.360000000000014,0.030384531511230696,-0.002023586065573774,-1990.682024028726,3,-2.3899999999999864
SBER,2022-01-13 18:30:00+00:00,2022-01-13 19:30:00+00:00,1,2022-01-13 18:30:00+00:00,287.5118,4.3819358735598755,280.93889618966017,294.0847038103398,-0.059169049757262115,-0.794085573961904,2.822142857142848,0.010433060470029013,3.590000000000032,0.013271719038817123,2.1499999999999773,0.007948243992606201,0.0005989282207036245,587.9972146991789,3,0.0
SBER,2022-01-14 06:30:00+00:00,2022-01-14 07:00:00+00:00,1,2022-01-14 06:30:00+00:00,284.007,7.385192368958155,272.92921144656276,295.08478855343725,-0.040903921382219516,-0.02433750400459965,2.7007142857142816,0.009914880449775254,0.0,0.0,0.0,0.0,0.0008507049457815491,835.6789887585174,2,0.0
SBER,2022-01-14 08:30:00+00:00,2022-01-14 10:30:00+00:00,1,2022-01-14 08:30:00+00:00,282.8432,7.436956103246715,271.68776584512995,293.9986341548701,-0.028896575912024783,0.1336673281141698,2.096428571428569,0.007632535666176025,4.480000000000018,0.01631048166891185,2.7799999999999727,0.010121236392762124,-0.0025693878023850267,-2526.1520232370563,5,-0.6700000000000159
SBER,2022-01-14 23:30:00+00:00,2022-01-17 07:00:00+00:00,1,2022-01-14 23:30:00+00:00,266.8496,8.390862367198855,254.26330644920174,279.4358935507983,-0.02192096221991717,0.2676202300386911,2.8599999999999994,0.010957854406130266,0.75,0.0028735632183908046,0.22000000000002728,0.0008429118773947405,-0.0008443206293706278,-827.9801369384895,3,0.0
