strategy,symbol,rsi_low,rsi_high,rsi_len,boll_window,boll_mult,min_gap_bars,total_return,max_drawdown
meanrev,GAZP,20,65,10,14,1.5,10,-0.3678086200398466,0.390171105973354
meanrev,GAZP,20,65,10,14,1.5,15,-0.4953352315087274,0.5291520218762381
meanrev,GAZP,20,65,10,14,1.5,20,-0.4964480669543312,0.5273681828375352
meanrev,GAZP,20,65,10,14,1.5,25,-0.35850110683311764,0.4114305759066248
meanrev,GAZP,20,65,10,14,1.5,30,-0.12959918267188253,0.3039519480227008
meanrev,GAZP,20,65,10,14,2.0,10,-0.34491069376972605,0.35927352838658394
meanrev,GAZP,20,65,10,14,2.0,15,-0.39158812723374126,0.41655951750736187
meanrev,GAZP,20,65,10,14,2.0,20,-0.3739943622910362,0.4161048305322805
meanrev,GAZP,20,65,10,14,2.0,25,-0.2610323847002878,0.3134334063183811
meanrev,GAZP,20,65,10,14,2.0,30,-0.15065753168094953,0.2491793980540909
meanrev,GAZP,20,65,10,14,2.5,10,-0.24162138998894744,0.2593559582219581
meanrev,GAZP,20,65,10,14,2.5,15,-0.23853150775910126,0.255398757958385
meanrev,GAZP,20,65,10,14,2.5,20,-0.23367474998144044,0.25685722628415303
meanrev,GAZP,20,65,10,14,2.5,25,-0.23075123093046745,0.2664527476156098
meanrev,GAZP,20,65,10,14,2.5,30,-0.1917503523662052,0.22969228247266502
meanrev,GAZP,20,65,10,20,1.5,10,-0.2887415640646901,0.3026288639052561
meanrev,GAZP,20,65,10,20,1.5,15,-0.2968202322213841,0.321765775992524
meanrev,GAZP,20,65,10,20,1.5,20,-0.26440506248546636,0.31506018960371346
meanrev,GAZP,20,65,10,20,1.5,25,-0.21881674429368247,0.2805319040183186
meanrev,GAZP,20,65,10,20,1.5,30,-0.004917300976899797,0.26502335051837667
meanrev,GAZP,20,65,10,20,2.0,10,-0.20021621268233059,0.22421180577367275
meanrev,GAZP,20,65,10,20,2.0,15,-0.19769884294574736,0.23104526146894747
meanrev,GAZP,20,65,10,20,2.0,20,-0.1589986350168322,0.23197942844233974
meanrev,GAZP,20,65,10,20,2.0,25,-0.12788098677368365,0.22918841693357056
meanrev,GAZP,20,65,10,20,2.0,30,-0.10770067366449165,0.2631366331517121
meanrev,GAZP,20,65,10,20,2.5,10,-0.09336533881640796,0.10489381693960942
meanrev,GAZP,20,65,10,20,2.5,15,-0.0908908371774263,0.10697913147919233
meanrev,GAZP,20,65,10,20,2.5,20,-0.08670819286735876,0.1161993841430054
meanrev,GAZP,20,65,10,20,2.5,25,-0.06636604412659208,0.13502169713080514
meanrev,GAZP,20,65,10,20,2.5,30,-0.05903887075782677,0.13274256987786343
meanrev,GAZP,20,65,10,30,1.5,10,-0.1196611807518051,0.11966118075180508
meanrev,GAZP,20,65,10,30,1.5,15,-0.1259900570629766,0.12599005706297664
meanrev,GAZP,20,65,10,30,1.5,20,0.01831036372877115,0.06072194812904372
meanrev,GAZP,20,65,10,30,1.5,25,0.04118472710863319,0.06792342111054073
meanrev,GAZP,20,65,10,30,1.5,30,-0.033904010297779674,0.11511624771864076
meanrev,GAZP,20,65,10,30,2.0,10,-0.07886921634863042,0.0809902910942384
meanrev,GAZP,20,65,10,30,2.0,15,-0.07097580443379803,0.07847595040870457
meanrev,GAZP,20,65,10,30,2.0,20,0.039079353394400274,0.029790723323064313
meanrev,GAZP,20,65,10,30,2.0,25,0.10123552995317264,0.06555101860565872
meanrev,GAZP,20,65,10,30,2.0,30,0.005483290074020708,0.07260806319913458
meanrev,GAZP,20,65,10,30,2.5,10,-0.030987884738095328,0.04490926611302866
meanrev,GAZP,20,65,10,30,2.5,15,-0.024625856731081086,0.04490926611302866
meanrev,GAZP,20,65,10,30,2.5,20,0.01542078946665093,0.023193371205019086
meanrev,GAZP,20,65,10,30,2.5,25,0.0781683841117713,0.032945592963674754
meanrev,GAZP,20,65,10,30,2.5,30,-0.018831047793477662,0.08849599304579676
meanrev,GAZP,20,65,14,14,1.5,10,-0.3994006448224471,0.41298521351044576
meanrev,GAZP,20,65,14,14,1.5,15,-0.4638338670552017,0.48890202062677707
meanrev,GAZP,20,65,14,14,1.5,20,-0.49691407623397765,0.5092003636420702
meanrev,GAZP,20,65,14,14,1.5,25,-0.3747371588540852,0.4033622403479671
meanrev,GAZP,20,65,14,14,1.5,30,-0.2678515045458869,0.3495636482591534
meanrev,GAZP,20,65,14,14,2.0,10,-0.29903780069741204,0.31652304711014556
meanrev,GAZP,20,65,14,14,2.0,15,-0.33067315721465884,0.3499405180480129
meanrev,GAZP,20,65,14,14,2.0,20,-0.3398995928718742,0.36243219473675287
meanrev,GAZP,20,65,14,14,2.0,25,-0.22853999429942673,0.26565152554534927
meanrev,GAZP,20,65,14,14,2.0,30,-0.17549518917570883,0.22832426745949733
meanrev,GAZP,20,65,14,14,2.5,10,-0.2516794774848369,0.2767930131609997
meanrev,GAZP,20,65,14,14,2.5,15,-0.26223987964101636,0.2805648460809923
meanrev,GAZP,20,65,14,14,2.5,20,-0.26835684861001463,0.2871375932484741
meanrev,GAZP,20,65,14,14,2.5,25,-0.2683745441572355,0.2847950061589532
meanrev,GAZP,20,65,14,14,2.5,30,-0.2698986713190308,0.2909476682924329
meanrev,GAZP,20,65,14,20,1.5,10,-0.26180786582201754,0.299001748944738
meanrev,GAZP,20,65,14,20,1.5,15,-0.2620276366581894,0.3012517032886703
meanrev,GAZP,20,65,14,20,1.5,20,-0.2591896298829992,0.2878740243612451
meanrev,GAZP,20,65,14,20,1.5,25,-0.15094467074831897,0.2604256787552915
meanrev,GAZP,20,65,14,20,1.5,30,-0.1560156380281057,0.27655247508463493
meanrev,GAZP,20,65,14,20,2.0,10,-0.19008634710672134,0.23471707214657067
meanrev,GAZP,20,65,14,20,2.0,15,-0.1914641191704478,0.23246621498064723
meanrev,GAZP,20,65,14,20,2.0,20,-0.18935898265043927,0.225569925606351
meanrev,GAZP,20,65,14,20,2.0,25,-0.10892210259238055,0.17243681858806034
meanrev,GAZP,20,65,14,20,2.0,30,-0.22067628957173935,0.26028650404812975
meanrev,GAZP,20,65,14,20,2.5,10,-0.08715305138502916,0.1248827768894302
meanrev,GAZP,20,65,14,20,2.5,15,-0.08948930998449278,0.11942392791522141
meanrev,GAZP,20,65,14,20,2.5,20,-0.06533241687865066,0.11357812943856632
meanrev,GAZP,20,65,14,20,2.5,25,-0.04053207388775304,0.11017423567161973
meanrev,GAZP,20,65,14,20,2.5,30,-0.06823673255679008,0.13563122282336382
meanrev,GAZP,20,65,14,30,1.5,10,-0.09828624376325246,0.10120314398896894
meanrev,GAZP,20,65,14,30,1.5,15,-0.09721488157242841,0.09721488157242839
meanrev,GAZP,20,65,14,30,1.5,20,-0.01101827846494896,0.05023332638139821
meanrev,GAZP,20,65,14,30,1.5,25,0.014371374509005275,0.042184535394830726
meanrev,GAZP,20,65,14,30,1.5,30,-0.07614888214878712,0.13575933763439557
meanrev,GAZP,20,65,14,30,2.0,10,-0.04431608469779147,0.04675141534070465
meanrev,GAZP,20,65,14,30,2.0,15,-0.03612657791140783,0.04373086990549783
meanrev,GAZP,20,65,14,30,2.0,20,0.029265142770729557,0.022275368961704338
meanrev,GAZP,20,65,14,30,2.0,25,0.07342252644389746,0.03424298175636478
meanrev,GAZP,20,65,14,30,2.0,30,-0.011957741786239762,0.08471665123622932
meanrev,GAZP,20,65,14,30,2.5,10,-0.03233492202181709,0.04490926611302866
meanrev,GAZP,20,65,14,30,2.5,15,-0.025981737958847062,0.04490926611302866
meanrev,GAZP,20,65,14,30,2.5,20,0.028259130632904306,0.0232772216093153
meanrev,GAZP,20,65,14,30,2.5,25,0.07009838759111209,0.032945592963674754
meanrev,GAZP,20,65,14,30,2.5,30,-0.022770880270689964,0.08849599304579676
meanrev,GAZP,20,65,20,14,1.5,10,-0.3850822910479552,0.3879520133090743
meanrev,GAZP,20,65,20,14,1.5,15,-0.46902596213275893,0.4714024787387196
meanrev,GAZP,20,65,20,14,1.5,20,-0.46066025655192244,0.4608828726068076
meanrev,GAZP,20,65,20,14,1.5,25,-0.4077644108678954,0.41545361828730165
meanrev,GAZP,20,65,20,14,1.5,30,-0.33643460342378506,0.36432037625389596
meanrev,GAZP,20,65,20,14,2.0,10,-0.29402667311970165,0.2960411981791848
meanrev,GAZP,20,65,20,14,2.0,15,-0.34392400493788633,0.34947720800375925
meanrev,GAZP,20,65,20,14,2.0,20,-0.33341476340651344,0.33748686742883877
meanrev,GAZP,20,65,20,14,2.0,25,-0.26747717775866153,0.29476314855759167
meanrev,GAZP,20,65,20,14,2.0,30,-0.2738003533472527,0.2941452281691792
meanrev,GAZP,20,65,20,14,2.5,10,-0.23005993167636063,0.2493587906269526
meanrev,GAZP,20,65,20,14,2.5,15,-0.25664906799722975,0.2644899128072471
meanrev,GAZP,20,65,20,14,2.5,20,-0.23899948637226232,0.2526548537936951
meanrev,GAZP,20,65,20,14,2.5,25,-0.2535270623141903,0.27836184176096196
meanrev,GAZP,20,65,20,14,2.5,30,-0.2609109435481106,0.2954359577295753
meanrev,GAZP,20,65,20,20,1.5,10,-0.22834607701693188,0.2506518070176116
meanrev,GAZP,20,65,20,20,1.5,15,-0.2580334596891791,0.269628654966971
meanrev,GAZP,20,65,20,20,1.5,20,-0.22449880594659155,0.23169340440027947
meanrev,GAZP,20,65,20,20,1.5,25,-0.17595468945212356,0.22009446826978105
meanrev,GAZP,20,65,20,20,1.5,30,-0.17105490334571216,0.20107053657896862
meanrev,GAZP,20,65,20,20,2.0,10,-0.2228162600945104,0.24353511629364544
meanrev,GAZP,20,65,20,20,2.0,15,-0.24975736124916736,0.2633174591237816
meanrev,GAZP,20,65,20,20,2.0,20,-0.2219015932849231,0.2288845551257678
meanrev,GAZP,20,65,20,20,2.0,25,-0.1907207621473338,0.23061900892868212
meanrev,GAZP,20,65,20,20,2.0,30,-0.26275246161338117,0.27870344219118376
meanrev,GAZP,20,65,20,20,2.5,10,-0.12044791029519342,0.14048404503863307
meanrev,GAZP,20,65,20,20,2.5,15,-0.13591601877079384,0.14815240789096032
meanrev,GAZP,20,65,20,20,2.5,20,-0.11754392332835883,0.1309738417091759
meanrev,GAZP,20,65,20,20,2.5,25,-0.09760500160530161,0.14240723848025974
meanrev,GAZP,20,65,20,20,2.5,30,-0.14455130455580423,0.16738347265930095
meanrev,GAZP,20,65,20,30,1.5,10,-0.09580017497896132,0.09691817347388351
meanrev,GAZP,20,65,20,30,1.5,15,-0.10241747964451209,0.10241747964451206
meanrev,GAZP,20,65,20,30,1.5,20,-0.03328961990185275,0.05102023325420891
meanrev,GAZP,20,65,20,30,1.5,25,0.022753824236136255,0.04442513913285157
meanrev,GAZP,20,65,20,30,1.5,30,-0.060030094536544065,0.10447821041039894
meanrev,GAZP,20,65,20,30,2.0,10,-0.04693698249024014,0.048115397913088824
meanrev,GAZP,20,65,20,30,2.0,15,-0.04693698249024014,0.048115397913088824
meanrev,GAZP,20,65,20,30,2.0,20,0.005698632153237515,0.02357785819907816
meanrev,GAZP,20,65,20,30,2.0,25,0.08314815314582247,0.03233397162524224
meanrev,GAZP,20,65,20,30,2.0,30,-0.02301299276508273,0.08471665123622871
meanrev,GAZP,20,65,20,30,2.5,10,-0.03213272334880635,0.04490926611302848
meanrev,GAZP,20,65,20,30,2.5,15,-0.03213272334880635,0.04490926611302848
meanrev,GAZP,20,65,20,30,2.5,20,0.00957789649338614,0.023379437515884897
meanrev,GAZP,20,65,20,30,2.5,25,0.08022044307538012,0.03273642195105926
meanrev,GAZP,20,65,20,30,2.5,30,-0.027445284162812,0.08849599304579689
meanrev,GAZP,20,70,10,14,1.5,10,-0.3663725666658503,0.3741736713169653
meanrev,GAZP,20,70,10,14,1.5,15,-0.4612578025864438,0.47125401679427803
meanrev,GAZP,20,70,10,14,1.5,20,-0.4498042489818779,0.4719634142201113
meanrev,GAZP,20,70,10,14,1.5,25,-0.3185075629649794,0.39197719055502955
meanrev,GAZP,20,70,10,14,1.5,30,-0.07644206595402048,0.23777638815027127
meanrev,GAZP,20,70,10,14,2.0,10,-0.3154851072040752,0.3266755048876221
